"U:0","U:1","U:2","alpha.water","epsilon","k","nut","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7647,3.4702e-05,-0.00030854,0.32778,2.9213,0.044756,6.1929e-05,4.0443,-956.1,1,0.002085,0.55,0.0025,0.002085
1.7647,3.2243e-05,-0.0003111,0.31008,2.9543,0.045084,6.215e-05,4.0157,-904.45,1,0.0021,0.55,0.0025,0.0021
1.7647,2.9784e-05,-0.00031366,0.29239,2.9872,0.045412,6.237e-05,3.9871,-852.8,1,0.002115,0.55,0.0025,0.002115
1.7647,2.7325e-05,-0.00031622,0.2747,3.0201,0.045741,6.2591e-05,3.9585,-801.16,1,0.00213,0.55,0.0025,0.00213
1.7646,2.4866e-05,-0.00031878,0.257,3.0531,0.046069,6.2811e-05,3.9299,-749.51,1,0.002145,0.55,0.0025,0.002145
1.7646,2.2408e-05,-0.00032133,0.23931,3.086,0.046397,6.3031e-05,3.9013,-697.87,1,0.00216,0.55,0.0025,0.00216
1.7646,1.9949e-05,-0.00032389,0.22162,3.119,0.046725,6.3252e-05,3.8727,-646.22,1,0.002175,0.55,0.0025,0.002175
1.7646,1.749e-05,-0.00032645,0.20393,3.1519,0.047054,6.3472e-05,3.8441,-594.58,1,0.00219,0.55,0.0025,0.00219
1.7645,1.5031e-05,-0.00032901,0.18623,3.1849,0.047382,6.3692e-05,3.8155,-542.93,1,0.002205,0.55,0.0025,0.002205
1.7645,1.2572e-05,-0.00033157,0.16854,3.2178,0.04771,6.3913e-05,3.7869,-491.28,1,0.00222,0.55,0.0025,0.00222
1.7645,1.0113e-05,-0.00033413,0.15085,3.2508,0.048039,6.4133e-05,3.7583,-439.64,1,0.002235,0.55,0.0025,0.002235
1.7645,7.6543e-06,-0.00033669,0.13315,3.2837,0.048367,6.4354e-05,3.7297,-387.99,1,0.00225,0.55,0.0025,0.00225
